kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
111503,Seunagan Timur,11.01.01.1224
111504,Beutong,11.01.01.1225
111505,Darul Makmur,11.01.01.1226
111506,Suka Makmue,11.01.01.1227
111507,Kuala Pesisir,11.01.01.1228
111508,Tadu Raya,11.01.01.1229
111509,Tripa Makmur,11.01.01.1230
111510,Beutong Ateuh Banggalang,11.01.01.1231
111601,Manyak Payed,11.01.01.1232
111602,Bendahara,11.01.01.1233
111603,Karang Baru,11.01.01.1234
111604,Seruway,11.01.01.1235
111605,Kota Kualasinpang (Kota Kuala Simpang),11.01.01.1236
111606,Kejuruan Muda,11.01.01.1237
111607,Tamiang Hulu,11.01.01.1238
111608,Rantau,11.01.01.1239
111609,Banda Mulia,11.01.01.1240
111610,Bandar Pusaka,11.01.01.1241
111611,Tenggulun,11.01.01.1242
111612,Sekerak,11.01.01.1243
111701,Pintu Rime Gayo,11.01.01.1244
111702,Permata,11.01.01.1245
111703,Syiah Utama,11.01.01.1246
111704,Bandar,11.01.01.1247
111705,Bukit,11.01.01.1248
111706,Wih Pesam,11.01.01.1249
111707,Timang Gajah,11.01.01.1250
111708,Bener Kelipah,11.01.01.1251
111709,Mesidah,11.01.01.1252
111710,Gajah Putih,11.01.01.1253
111801,Meureudu,11.01.01.1254
111802,Ulim,11.01.01.1255
111803,Jangka Buya (Jangka Buaya),11.01.01.1256
111804,Bandar Dua,11.01.01.1257
111805,Meurah Dua,11.01.01.1258
111806,Bandar Baru,11.01.01.1259
111807,Panteraja,11.01.01.1260
111808,Trienggadeng,11.01.01.1261
117101,Baiturrahman,11.01.01.1262
117102,Kuta Alam,11.01.01.1263
117103,Meuraxa,11.01.01.1264
117104,Syiah Kuala,11.01.01.1265
117105,Lueng Bata,11.01.01.1266
117106,Kuta Raja,11.01.01.1267
117107,Banda Raya,11.01.01.1268
117108,Jaya Baru,11.01.01.1269
117109,Ulee Kareng,11.01.01.1270
117201,Sukakarya,11.01.01.1271
